layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011511,TW12S721,Fair Oaks Crossing 8849,285600,280784.18,TBD,Erosion Control,Under Construction,-96.7284440675207,32.8992064271197
Active Bond Program,1011512,TW12S722,Five Mile Pkwy W. 922,222400,358596.5,TBD,Erosion Control,Under Construction,-96.837658589212,32.6949810785976
Active Bond Program,1011514,TW12S724,Glendale Park Site 1 - Pavilion,68600,132587.95,TBD,Erosion Control,Under Construction,-96.8006155621098,32.6821475497782
Active Bond Program,1011518,TW12S728,Greenville Avenue 9320/Vista View 8915,197700,378882.79,TBD,Erosion Control,Under Construction,-96.7486315699682,32.9031562320119
Active Bond Program,1011519,TW12S729,Hampton Road (S) 3817,228500,338564.6,TBD,Erosion Control,Under Construction,-96.857186482842,32.6963546278035
Active Bond Program,1011520,TW12S730,Harry Moss Park Site 1 - S. of pedestrian bridge,68600,172195.48,TBD,Erosion Control,Under Construction,-96.7526695941004,32.8925778235593
Active Bond Program,1011523,TW12S733,Kiesthill Drive 3431,222400,246241.55,TBD,Erosion Control,Under Construction,-96.8800666946294,32.7023071948631
Active Bond Program,1011525,TW12S735,Kiltartan 1511,177900,1159829.9,TBD,Erosion Control,Under Construction,-96.6877327490179,32.8243094931637
Active Bond Program,1011526,TW12S736,Kiowa Parkway Hike and Bike Trail,82300,140086.46,TBD,Erosion Control,Under Construction,-96.7972790290279,32.9564673382544
Active Bond Program,1011527,TW12S737,Lanett Circle N. 10741,142800,334380.87,TBD,Erosion Control,Under Construction,-96.6991319070674,32.8688783776244
Active Bond Program,1011528,TW12S738,Langdale Circle 8668 and 8656,285600,934496.16,TBD,Erosion Control,Under Construction,-96.6991709125167,32.8672594517888
Active Bond Program,1011529,TW12S739,Lyre Lane 6909 and Chantilly Court 6916,68600,10850.26,TBD,Erosion Control,Under Construction,-96.7405028339959,32.8364000890116
Active Bond Program,1011530,TW12S740,Martin Weiss Park Site 1 - Pavilion,68600,135845.78,TBD,Erosion Control,Under Construction,-96.8776716381364,32.7333235489185
