GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113014306,Census Tract 143.06,2318078,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False,28,278,1524,1.837,NOSHI PROPERTIES LLC,SAJI ABRAHAM PROPERTIES LLC,ARNS INVESTMENTS LLC
48113012601,Census Tract 126.01,2215506,0.0,0.0,0.0,,0,0,7,0,0,6,13,0.0,0.0,,0.0,False,19,144,1057,1.798,TRUE DFW HOMES-1 LLC,RESIDENTIAL HOME OWNER 1 LLC,RESICAP TEXAS OWNER II LLC
48113012701,Census Tract 127.01,2804380,0.0,0.0,0.0,,1,0,128,0,200,0,329,0.0,0.0,,0.6894055125438219,True,36,310,1592,2.261,KHAKI INVESTMENTS LLC,GR SFR FUND II A LLC,ONE EVEN FLOW LLC
48113012702,Census Tract 127.02,1201965,0.0,0.0,0.0,,0,0,1,0,0,3,4,0.0,0.0,,0.9990344831339236,True,18,200,1011,1.78,GR SFR FUND II A LLC,KHAKI INVESTMENTS LLC,VICTORY HOUSING VESTERS LLC
48113012900,Census Tract 129,4747860,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,12,156,1883,0.637,MFHB TEXAS PROPCO II LLC,SWAN PROPERTIES LTD,BPHB ASSETCO LLC
48113014310,Census Tract 143.10,1881325,1.0,180.0,144.0,2005.0,0,0,275,0,0,0,275,0.0,0.0,,0.0,False,11,112,882,1.247,WAYSTAR HOLDINGS LLC,FF I BORROWER II LLC,ARMM ASSETS 2 LLC
48113014405,Census Tract 144.05,1839711,2.0,155.0,155.0,1992.0,0,0,22,0,49,0,71,0.0,0.0,,0.0,False,8,97,700,1.143,ARNS INVESTMENTS LLC,CERBERUS SFR HOLDINGS LP,HP TEXAS I LLC
48113014406,Census Tract 144.06,2025185,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,12,118,896,1.339,NOSHI PROPERTIES LLC,WAGONEER LLC,KHURRAM PROPERTIES LLC
48113014407,Census Tract 144.07,1720772,0.0,0.0,0.0,,0,0,9,0,0,0,9,0.0,0.0,,0.0,False,5,46,345,1.449,NOSHI PROPERTIES LLC,CSH PROPERTY ONE LLC,HOME SFR BORROWER LLC
48113014408,Census Tract 144.08,1813391,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False,7,66,665,1.053,TRICON SFR 2020 2,SIRI SAI 27 LLC,22 SPYGLASS LLC
