GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present
48113002200,Census Tract 22,1651595,0.0,0.0,0.0,,0,0,97,0,116,0,213,0.0,0.0,,0.0,False
48113002400,Census Tract 24,1207749,0.0,0.0,0.0,,0,0,16,0,0,0,16,0.0,0.0,,0.0,False
48113008000,Census Tract 80,5855428,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,2.139794545569535e-06,False
48113008200,Census Tract 82,2792555,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.17020786423498466,True
48113019018,Census Tract 190.18,1471279,0.0,0.0,0.0,,0,2,81,0,0,0,84,0.0,0.0,,0.0,False
48113015700,Census Tract 157,3459861,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113016001,Census Tract 160.01,1587451,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False
48113016002,Census Tract 160.02,1585905,0.0,0.0,0.0,,0,0,11,0,0,0,11,0.0,0.0,,0.0,False
48113016100,Census Tract 161,6617821,2.0,234.0,187.0,2005.0,0,0,54,0,111,0,164,0.0,0.0,,0.0,False
48113016201,Census Tract 162.01,1929905,0.0,0.0,0.0,,0,0,28,0,0,0,28,0.0,0.0,,0.0,False
48113016301,Census Tract 163.01,3614361,0.0,0.0,0.0,,0,0,15,0,0,0,15,0.0,0.0,,0.0,False
48113016410,Census Tract 164.10,4234709,1.0,93.0,61.0,2020.0,0,0,13,0,0,0,13,0.0,0.0,,0.0,False
48113016302,Census Tract 163.02,860045,0.0,0.0,0.0,,0,0,4,0,0,0,4,0.0,0.0,,0.0,False
48113016511,Census Tract 165.11,1694306,0.0,0.0,0.0,,0,0,86,0,0,9,95,0.0,0.0,,0.0,False
48113016615,Census Tract 166.15,2481690,0.0,0.0,0.0,,0,0,90,0,0,0,90,0.0,0.0,,0.0,False
48113016616,Census Tract 166.16,11614357,0.0,0.0,0.0,,0,0,101,0,0,0,101,0.0,0.0,,0.0,False
48113018111,Census Tract 181.11,2715343,1.0,250.0,150.0,1998.0,0,0,146,0,0,0,146,0.0,0.0,,0.0,False
48113016638,Census Tract 166.38,3449205,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False
48113013630,Census Tract 136.30,292256,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113011701,Census Tract 117.01,4769940,0.0,0.0,0.0,,0,0,21,0,0,4,25,0.0,0.0,,0.0,False
48113011702,Census Tract 117.02,5492636,0.0,0.0,0.0,,0,0,95,0,0,1,96,0.0,0.0,,0.0,False
48113012000,Census Tract 120,2551715,4.0,752.0,488.0,2015.0,0,0,258,0,1,0,259,0.0,0.0,,0.0,False
48113012206,Census Tract 122.06,2631364,0.0,0.0,0.0,,0,0,1,0,0,3,4,0.0,0.0,,0.0,False
48113012207,Census Tract 122.07,5418279,1.0,318.0,318.0,2016.0,1,0,86,0,0,0,87,0.0,0.0,,0.0,False
48113012208,Census Tract 122.08,1037011,2.0,379.0,349.0,2006.0,0,0,223,0,0,0,223,0.0,0.0,,0.0,False
48113010704,Census Tract 107.04,5439795,2.0,514.0,514.0,2021.0,0,0,104,0,246,0,350,0.0,1.0,Builders of Hope CDC,0.0,False
48113980100,Census Tract 9801,5549416,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113000605,Census Tract 6.05,537957,0.0,0.0,0.0,,0,0,37,0,0,0,37,0.0,0.0,,0.0,False
48113016407,Census Tract 164.07,1936252,0.0,0.0,0.0,,0,0,36,0,0,0,36,0.0,0.0,,0.0,False
48113007101,Census Tract 71.01,1183153,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113018002,Census Tract 180.02,1469842,0.0,0.0,0.0,,0,0,14,0,0,0,14,0.0,0.0,,0.0,False
48113009105,Census Tract 91.05,1394850,0.0,0.0,0.0,,53,0,4,0,0,0,57,0.0,0.0,,0.0,False
48113012210,Census Tract 122.10,1174023,0.0,0.0,0.0,,0,0,86,0,171,0,257,0.0,0.0,,0.0,False
48113009610,Census Tract 96.10,1270010,1.0,224.0,224.0,1995.0,0,0,5,0,0,0,5,0.0,0.0,,0.0,False
48113014121,Census Tract 141.21,3798143,0.0,0.0,0.0,,0,0,15,0,0,0,15,0.0,0.0,,0.0,False
48113004201,Census Tract 42.01,2569176,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113017102,Census Tract 171.02,29422621,0.0,0.0,0.0,,0,0,11,0,0,0,11,0.0,0.0,,0.0,False
48113011105,Census Tract 111.05,1526080,0.0,0.0,0.0,,0,0,44,0,0,0,44,0.0,0.0,,0.0,False
48113005901,Census Tract 59.01,2864752,0.0,0.0,0.0,,0,0,15,0,0,0,15,0.0,0.0,,0.0,False
48113006001,Census Tract 60.01,1188588,0.0,0.0,0.0,,0,0,16,0,0,0,16,0.0,0.0,,0.0,False
48113006002,Census Tract 60.02,2334986,1.0,176.0,140.0,2004.0,0,0,198,0,0,0,198,0.0,0.0,,0.0,False
48113006200,Census Tract 62,2808984,3.0,473.0,472.0,2016.0,0,0,125,0,45,0,170,0.0,0.0,,0.0,False
48113006301,Census Tract 63.01,2549959,0.0,0.0,0.0,,0,0,1,0,0,1,2,0.0,0.0,,0.0,False
48113006302,Census Tract 63.02,1646368,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113006501,Census Tract 65.01,1372359,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113006502,Census Tract 65.02,1688019,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False
48113011300,Census Tract 113,7695045,1.0,112.0,112.0,2012.0,0,0,92,0,0,0,92,0.0,0.0,,0.0,False
48113002100,Census Tract 21,990769,0.0,0.0,0.0,,0,0,164,0,0,0,164,0.0,0.0,,0.0,False
48113001202,Census Tract 12.02,3147486,0.0,0.0,0.0,,0,0,13,0,0,0,13,0.0,0.0,,0.0,False
48113001203,Census Tract 12.03,479384,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113016903,Census Tract 169.03,133781549,0.0,0.0,0.0,,0,0,16,0,0,0,16,0.0,0.0,,0.0,False
48113016617,Census Tract 166.17,6044336,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False
48113008703,Census Tract 87.03,1427276,0.0,0.0,0.0,,0,0,13,0,0,0,13,0.0,0.0,,0.0,False
48113014002,Census Tract 140.02,21908924,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113012603,Census Tract 126.03,922005,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
