GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113011500,35.0,6.0,0.17142857142857143,5.0,1.0,,18.0,3.0,0.16666666666666666,
48113011601,23.0,6.0,0.2608695652173913,6.0,2.0,,11.0,2.0,0.18181818181818182,
48113011603,28.0,7.0,0.25,0.0,0.0,,19.0,5.0,0.2631578947368421,
48113011604,29.0,4.0,0.13793103448275862,0.0,0.0,,20.0,3.0,0.15,
48113011701,38.0,3.0,0.07894736842105263,2.0,0.0,,28.0,2.0,0.07142857142857142,
48113011702,47.0,4.0,0.0851063829787234,3.0,0.0,,36.0,2.0,0.05555555555555555,
48113011801,55.0,9.0,0.16363636363636364,6.0,1.0,,34.0,7.0,0.20588235294117646,
48113011802,21.0,0.0,0.0,1.0,0.0,,17.0,0.0,0.0,
48113011901,42.0,4.0,0.09523809523809523,3.0,1.0,,27.0,0.0,0.0,
48113011902,33.0,6.0,0.18181818181818182,5.0,2.0,,20.0,2.0,0.1,
48113012000,49.0,12.0,0.24489795918367346,8.0,2.0,,15.0,4.0,0.26666666666666666,
48113012101,11.0,1.0,0.09090909090909091,2.0,0.0,,3.0,0.0,,
48113012102,44.0,1.0,0.022727272727272728,5.0,0.0,,21.0,1.0,0.047619047619047616,
48113012206,143.0,8.0,0.055944055944055944,27.0,4.0,0.14814814814814814,73.0,3.0,0.0410958904109589,3.6049382716049383
48113012207,74.0,12.0,0.16216216216216217,14.0,3.0,0.21428571428571427,38.0,3.0,0.07894736842105263,2.7142857142857144
48113012208,5.0,0.0,0.0,1.0,0.0,,1.0,0.0,,
48113012209,91.0,4.0,0.04395604395604396,1.0,0.0,,63.0,2.0,0.031746031746031744,
48113012210,27.0,3.0,0.1111111111111111,1.0,1.0,,21.0,1.0,0.047619047619047616,
48113012211,21.0,5.0,0.23809523809523808,1.0,0.0,,13.0,1.0,0.07692307692307693,
