GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113009608,2907,123958,4.5,20.1,24.6,0,205298181.48000002,758086844.8,0.14049921917005198,0.518809319155438
48113009609,3183,190670,0.6,5.8,6.4,0,202247945.69,758086844.8,0.1384117396624885,0.518809319155438
48113009611,3538,83270,4.9,58.3,63.2,0,156189336.1,745185515.58,0.10689076545413348,0.5099800802961433
48113009702,3219,164547,0.6,25.9,26.5,0,179426854.38,753500199.7299999,0.12279374691384928,0.5156703724472913
48113009202,5453,48497,19.9,74.5,94.4,1,7750628.22,560050495.8600001,0.005304271110133799,0.383279855656179
48113009301,5267,64255,9.5,83.1,92.6,1,15515572.120000001,560053495.86,0.010618339393566401,0.3832819087559895
48113009304,9059,33786,59.4,35.6,95.0,1,15515572.120000001,554131497.56,0.010618339393566401,0.37922909089331674
48113008500,3637,52423,8.1,73.7,81.8,0,27875863.68,686178608.3399999,0.01907731014710599,0.46959772360358126
48113008604,2573,22619,74.4,22.0,96.4,1,86481090.22,603999188.4300001,0.05918476998330603,0.41335687311982955
48113008701,5320,23938,74.5,24.7,99.2,1,43523119.129999995,565086093.26,0.029785769213965817,0.386726050345554
48113008704,4649,17442,60.8,37.8,98.6,1,43523119.129999995,564922445.0,0.029785769213965817,0.3866140549416845
48113008801,2721,41476,67.9,28.8,96.7,1,179803270.05,586086843.11,0.12305135322744211,0.4010982621919509
48113009802,5776,56923,4.4,85.0,89.4,0,121799967.69999999,735342694.52,0.08335583020473401,0.503243982278172
48113009104,3477,71298,12.5,81.4,93.9,1,15571452.400000002,604604224.29,0.010656581990994224,0.41377093945635063
48113018144,4790,149022,37.1,13.3,50.400000000000006,0,5921998.3,69445366.52999999,0.004052817862672746,0.04752608962293015
48113016524,2870,112857,21.9,7.9,29.8,1,408663.68,119438195.42,0.0002796757746670713,0.08173951213116258
48113018146,3023,136199,16.1,9.9,26.0,0,7571166.970000001,383304960.82000005,0.0051814538240063145,0.26232111415202086
48113018507,4141,38668,65.5,18.9,84.4,0,75248830.4,594634950.89,0.051497786480342624,0.4069483016799453
48113019045,2731,58354,17.5,45.1,62.6,0,74936877.38999999,594179073.89,0.05128429625842841,0.4066363146858285
