GEOID,tract_name,in_pid,pid_name,pid_annual_budget,pid_per_capita
48113016517,Census Tract 165.17,False,,,
48113016518,Census Tract 165.18,False,,,
48113016519,Census Tract 165.19,False,,,
48113016521,Census Tract 165.21,False,,,
48113016522,Census Tract 165.22,False,,,
48113016524,Census Tract 165.24,False,,,
48113016525,Census Tract 165.25,False,,,
48113016526,Census Tract 165.26,False,,,
48113016527,Census Tract 165.27,False,,,
48113016528,Census Tract 165.28,False,,,
48113016529,Census Tract 165.29,False,,,
48113016530,Census Tract 165.30,False,,,
48113016531,Census Tract 165.31,False,,,
48113016532,Census Tract 165.32,False,,,
48113016533,Census Tract 165.33,False,,,
48113016534,Census Tract 165.34,False,,,
48113016535,Census Tract 165.35,False,,,
48113016536,Census Tract 165.36,False,,,
48113016607,Census Tract 166.07,False,,,
48113016610,Census Tract 166.10,False,,,
48113016615,Census Tract 166.15,False,,,
48113016616,Census Tract 166.16,False,,,
48113016617,Census Tract 166.17,False,,,
48113016618,Census Tract 166.18,False,,,
48113016619,Census Tract 166.19,False,,,
48113016620,Census Tract 166.20,False,,,
48113016621,Census Tract 166.21,False,,,
48113016622,Census Tract 166.22,False,,,
48113016623,Census Tract 166.23,False,,,
48113016624,Census Tract 166.24,False,,,
48113016626,Census Tract 166.26,False,,,
48113016627,Census Tract 166.27,False,,,
48113016628,Census Tract 166.28,False,,,
48113016629,Census Tract 166.29,False,,,
48113016630,Census Tract 166.30,False,,,
48113016631,Census Tract 166.31,False,,,
48113016632,Census Tract 166.32,False,,,
48113016633,Census Tract 166.33,False,,,
48113016634,Census Tract 166.34,False,,,
48113016635,Census Tract 166.35,False,,,
48113016636,Census Tract 166.36,False,,,
48113016637,Census Tract 166.37,False,,,
48113016638,Census Tract 166.38,False,,,
48113016704,Census Tract 167.04,False,,,
48113016706,Census Tract 167.06,False,,,
48113016707,Census Tract 167.07,False,,,
48113016708,Census Tract 167.08,False,,,
48113016709,Census Tract 167.09,False,,,
48113016710,Census Tract 167.10,False,,,
48113016711,Census Tract 167.11,False,,,
48113016802,Census Tract 168.02,False,,,
48113016803,Census Tract 168.03,False,,,
48113016805,Census Tract 168.05,False,,,
48113016806,Census Tract 168.06,False,,,
48113016902,Census Tract 169.02,False,,,
48113016903,Census Tract 169.03,False,,,
48113017005,Census Tract 170.05,False,,,
48113017006,Census Tract 170.06,False,,,
48113017007,Census Tract 170.07,False,,,
48113017008,Census Tract 170.08,False,,,
48113017009,Census Tract 170.09,False,,,
48113017010,Census Tract 170.10,False,,,
48113017101,Census Tract 171.01,False,,,
48113017102,Census Tract 171.02,False,,,
48113017201,Census Tract 172.01,False,,,
48113017203,Census Tract 172.03,False,,,
48113017204,Census Tract 172.04,False,,,
48113017307,Census Tract 173.07,False,,,
48113017308,Census Tract 173.08,False,,,
48113017309,Census Tract 173.09,False,,,
48113017310,Census Tract 173.10,False,,,
48113017311,Census Tract 173.11,False,,,
48113017312,Census Tract 173.12,False,,,
48113017313,Census Tract 173.13,False,,,
48113017314,Census Tract 173.14,False,,,
