code_str,202/PRAC,811/PRAC,Housing Choice Vouchers,Mod Rehab,Project Based Section 8,Public Housing,Summary of All HUD Programs
48113019024,0,0,50,0,0,0,50
48113019025,0,0,19,0,0,0,19
48113019026,0,0,9,0,0,0,9
48113019027,0,0,29,0,0,0,29
48113019028,0,0,27,0,0,0,27
48113019029,0,0,54,0,0,0,54
48113019031,0,0,16,0,0,0,16
48113019032,0,0,2,0,0,0,2
48113019033,0,0,16,0,0,0,16
48113019034,0,0,63,0,0,0,63
48113019035,0,0,2,0,0,0,2
48113019036,0,0,6,0,0,0,6
48113019037,48,0,14,0,0,0,62
48113019039,0,0,54,0,0,0,54
48113019040,0,0,110,0,0,0,110
48113019041,0,0,12,0,0,0,12
48113019042,0,0,13,0,0,0,13
48113019044,0,0,10,0,0,0,10
48113019045,0,0,16,0,0,0,16
48113019046,0,0,6,0,0,0,6
48113019047,0,0,30,0,0,0,30
48113019048,0,0,11,0,0,0,11
48113019049,0,0,12,0,0,0,12
48113019050,0,0,0,0,0,0,0
48113019051,0,0,12,0,0,0,12
48113019052,0,0,0,0,0,0,0
48113019053,0,0,0,0,0,0,0
48113019101,0,0,0,0,0,0,0
48113019102,0,0,50,0,0,0,50
48113019202,0,0,11,0,0,0,11
48113019203,0,0,6,0,0,0,6
48113019205,0,0,0,0,0,0,0
48113019208,0,18,9,0,0,0,27
48113019210,0,0,0,0,0,0,0
48113019211,0,0,9,0,50,0,59
48113019212,0,0,2,0,0,0,2
48113019213,0,0,302,0,0,0,302
48113019214,0,0,6,0,0,0,6
48113019215,1,0,5,0,0,0,6
48113019216,0,0,6,0,0,0,6
48113019301,0,0,0,0,0,0,0
48113019302,0,0,2,0,0,0,2
48113019400,0,0,0,0,0,0,0
48113019501,0,0,0,0,0,0,0
48113019502,0,0,1,0,0,0,1
48113019600,0,0,0,0,0,0,0
48113019700,0,0,0,0,0,0,0
48113019800,0,0,0,0,0,0,0
48113019900,0,0,2,0,0,0,2
48113020000,0,0,3,0,0,0,3
48113020100,0,0,2,0,1,0,3
48113020200,0,0,60,0,0,0,60
48113020300,29,0,99,0,0,196,324
48113020401,0,0,60,0,0,0,60
48113020402,0,0,30,0,0,0,30
48113020500,62,0,525,0,0,775,1362
48113020600,0,0,0,0,0,0,0
48113020700,0,0,6,0,0,0,6
48113020800,0,0,159,0,0,0,159
48113020900,0,0,39,0,0,0,39
48113021000,0,0,65,0,0,0,65
48113021100,0,0,73,0,0,0,73
48113021200,0,0,12,0,0,0,12
48113980000,0,0,0,0,0,0,0
48113980100,0,0,0,0,0,0,0
48113980200,0,0,0,0,0,0,0
48113999999,3,0,126,0,6,205,341
