NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 190.18; Dallas County; Texas,68903,366000,2011,1004,1007,4869,1049,1666,807,48,113,019018
Census Tract 190.19; Dallas County; Texas,45809,292100,2567,719,1848,7655,951,3520,2525,48,113,019019
Census Tract 190.20; Dallas County; Texas,59519,345100,2542,1260,1282,7258,1979,940,2466,48,113,019020
Census Tract 190.23; Dallas County; Texas,106902,357700,1894,1220,674,5242,3467,225,816,48,113,019023
Census Tract 190.24; Dallas County; Texas,99083,329700,1364,1117,247,3949,1654,548,905,48,113,019024
Census Tract 190.25; Dallas County; Texas,104018,289700,1513,1316,197,4710,1566,889,982,48,113,019025
Census Tract 190.26; Dallas County; Texas,68242,278000,2083,1671,412,5333,2599,363,1106,48,113,019026
Census Tract 190.27; Dallas County; Texas,68996,281100,2783,891,1892,7280,1842,1444,1140,48,113,019027
Census Tract 190.28; Dallas County; Texas,83229,268100,1139,783,356,3531,708,935,1182,48,113,019028
Census Tract 190.29; Dallas County; Texas,75375,236900,2052,1462,590,6130,1295,376,2079,48,113,019029
Census Tract 190.31; Dallas County; Texas,107870,347500,2181,1632,549,5327,2633,565,1270,48,113,019031
Census Tract 190.32; Dallas County; Texas,67525,219400,1039,644,395,4628,531,104,2613,48,113,019032
Census Tract 190.33; Dallas County; Texas,69527,192100,1209,845,364,4629,392,462,2853,48,113,019033
Census Tract 190.34; Dallas County; Texas,40833,342200,1898,471,1427,5066,966,2058,1080,48,113,019034
Census Tract 190.35; Dallas County; Texas,36697,363000,2432,291,2141,6266,812,2406,2381,48,113,019035
Census Tract 190.36; Dallas County; Texas,148933,392500,1093,891,202,2612,1958,134,240,48,113,019036
Census Tract 190.37; Dallas County; Texas,92138,330300,1027,820,207,2831,1816,95,571,48,113,019037
Census Tract 190.39; Dallas County; Texas,90339,314700,2105,1230,875,5635,2765,725,1646,48,113,019039
