GEOID,income_2013,home_val_2013,total_units_2013,owner_occ_2013,renter_occ_2013,pop_2013,white_2013,black_2013,hispanic_2013
48113001202,41641.0,291700.0,1654.0,404.0,1250.0,3263.0,1347.0,588.0,1217.0
48113001203,74076.0,258500.0,547.0,458.0,89.0,1666.0,564.0,19.0,1046.0
48113001204,27609.0,95100.0,662.0,410.0,252.0,3010.0,175.0,0.0,2793.0
48113001301,43875.0,302200.0,1342.0,348.0,994.0,2501.0,1644.0,120.0,594.0
48113001302,40000.0,353800.0,1190.0,250.0,940.0,2367.0,797.0,246.0,1187.0
48113001400,35909.0,300900.0,1646.0,409.0,1237.0,3929.0,1286.0,306.0,2082.0
48113001502,34315.0,120700.0,1273.0,278.0,995.0,3002.0,483.0,653.0,1765.0
48113001503,21579.0,,1318.0,0.0,1318.0,3545.0,609.0,386.0,2420.0
48113001504,28980.0,260000.0,1243.0,172.0,1071.0,2370.0,773.0,525.0,812.0
48113001600,49592.0,217900.0,2109.0,584.0,1525.0,4345.0,1598.0,1634.0,754.0
48113001701,98571.0,809200.0,192.0,75.0,117.0,294.0,206.0,12.0,27.0
48113001703,107000.0,440500.0,2106.0,518.0,1588.0,2989.0,2542.0,118.0,210.0
48113001704,97083.0,409000.0,925.0,220.0,705.0,1374.0,1005.0,28.0,214.0
48113001800,70023.0,249100.0,2464.0,199.0,2265.0,3562.0,2586.0,238.0,429.0
48113001900,82273.0,601100.0,2766.0,295.0,2471.0,4731.0,3048.0,312.0,505.0
48113002000,33095.0,75800.0,2232.0,246.0,1986.0,5453.0,541.0,1005.0,3773.0
48113002100,72212.0,,1037.0,0.0,1037.0,1625.0,784.0,371.0,184.0
48113002200,52054.0,246600.0,1145.0,188.0,957.0,2164.0,1186.0,470.0,207.0
48113002400,31184.0,87700.0,884.0,424.0,460.0,3126.0,145.0,157.0,2709.0
48113002500,27394.0,77100.0,1614.0,853.0,761.0,4458.0,197.0,1317.0,2858.0
48113002701,11143.0,74300.0,1058.0,359.0,699.0,2744.0,0.0,2184.0,557.0
48113002702,18893.0,53300.0,577.0,241.0,336.0,1487.0,26.0,1327.0,134.0
48113003101,68462.0,215900.0,1948.0,229.0,1719.0,2752.0,1745.0,260.0,307.0
48113003400,22891.0,65000.0,650.0,123.0,527.0,1312.0,172.0,958.0,179.0
48113003700,24528.0,45300.0,1179.0,453.0,726.0,3227.0,64.0,3142.0,0.0
48113003800,17563.0,53000.0,793.0,311.0,482.0,1976.0,64.0,1870.0,33.0
48113003901,22175.0,40000.0,585.0,148.0,437.0,1600.0,11.0,1589.0,0.0
48113003902,30189.0,45500.0,684.0,267.0,417.0,1912.0,156.0,1446.0,286.0
48113004000,23750.0,43900.0,412.0,195.0,217.0,890.0,73.0,746.0,71.0
48113004100,13558.0,37700.0,374.0,138.0,236.0,1128.0,16.0,625.0,461.0
48113004201,54417.0,198200.0,1542.0,1009.0,533.0,4337.0,1768.0,122.0,2307.0
48113004202,43026.0,194900.0,982.0,396.0,586.0,2382.0,838.0,6.0,1496.0
48113004300,27933.0,64300.0,601.0,417.0,184.0,2056.0,147.0,182.0,1718.0
48113004400,97941.0,307100.0,1502.0,1030.0,472.0,3429.0,2127.0,81.0,1131.0
48113004500,49406.0,110000.0,1876.0,1110.0,766.0,5763.0,1301.0,321.0,4049.0
48113004600,56384.0,195900.0,711.0,369.0,342.0,1506.0,674.0,155.0,669.0
48113004700,26707.0,74000.0,1006.0,257.0,749.0,3622.0,385.0,182.0,3051.0
48113004800,27426.0,81800.0,773.0,219.0,554.0,2723.0,93.0,11.0,2591.0
48113004900,26198.0,46800.0,1268.0,797.0,471.0,4192.0,106.0,2356.0,1684.0
48113005000,30455.0,62800.0,1244.0,575.0,669.0,4544.0,256.0,371.0,3876.0
48113005100,35938.0,79300.0,757.0,508.0,249.0,3110.0,454.0,49.0,2575.0
48113005200,53235.0,101400.0,1262.0,812.0,450.0,4910.0,631.0,11.0,4218.0
48113005300,40744.0,88700.0,1906.0,1328.0,578.0,7352.0,716.0,35.0,6580.0
48113005400,28900.0,65000.0,1558.0,992.0,566.0,5407.0,210.0,2406.0,2759.0
48113005500,26293.0,72500.0,1185.0,853.0,332.0,3606.0,86.0,1766.0,1751.0
48113005600,34069.0,65100.0,1843.0,1035.0,808.0,8460.0,147.0,1655.0,6375.0
48113005700,27057.0,51200.0,1441.0,959.0,482.0,4738.0,125.0,2442.0,2124.0
48113005901,29423.0,65800.0,1786.0,1242.0,544.0,4533.0,22.0,3580.0,908.0
48113005902,26377.0,66800.0,1448.0,763.0,685.0,3779.0,231.0,2633.0,904.0
48113006001,28040.0,73700.0,1129.0,550.0,579.0,3762.0,71.0,988.0,2674.0
48113006002,20357.0,97600.0,1762.0,179.0,1583.0,4935.0,994.0,2839.0,822.0
48113006100,32917.0,119800.0,1524.0,765.0,759.0,4517.0,404.0,1727.0,2368.0
48113006200,39157.0,95700.0,1788.0,1055.0,733.0,5735.0,801.0,1404.0,3439.0
48113006301,42485.0,81900.0,1601.0,1150.0,451.0,6183.0,401.0,693.0,4876.0
48113006302,44106.0,95900.0,1260.0,1017.0,243.0,4147.0,670.0,116.0,3308.0
48113006401,49079.0,84200.0,652.0,558.0,94.0,2451.0,192.0,12.0,2231.0
48113006402,37471.0,83500.0,1439.0,789.0,650.0,5925.0,252.0,126.0,5541.0
48113006501,36733.0,88900.0,1526.0,1155.0,371.0,5934.0,261.0,122.0,5544.0
48113006502,41214.0,80400.0,944.0,747.0,197.0,3914.0,352.0,39.0,3523.0
48113006700,36533.0,75600.0,1937.0,1167.0,770.0,7491.0,937.0,44.0,6501.0
48113006800,26402.0,81500.0,1786.0,556.0,1230.0,5359.0,580.0,515.0,4170.0
48113006900,25765.0,149200.0,1238.0,327.0,911.0,3252.0,487.0,294.0,2460.0
48113007101,113958.0,597900.0,1002.0,510.0,492.0,2052.0,1664.0,0.0,163.0
48113007102,51162.0,125000.0,2590.0,1248.0,1342.0,6855.0,1519.0,2320.0,2690.0
48113007201,31527.0,86500.0,2408.0,188.0,2220.0,8931.0,1002.0,350.0,7562.0
48113007202,25549.0,73800.0,2663.0,174.0,2489.0,8171.0,1071.0,170.0,6746.0
48113007301,183125.0,679300.0,835.0,702.0,133.0,2015.0,1903.0,2.0,60.0
48113007302,104875.0,557200.0,1875.0,1257.0,618.0,4915.0,2881.0,103.0,1729.0
48113007601,135000.0,800500.0,692.0,559.0,133.0,1934.0,1678.0,18.0,182.0
48113007604,202188.0,962200.0,1220.0,1175.0,45.0,3359.0,2906.0,190.0,12.0
48113007605,113090.0,474100.0,821.0,747.0,74.0,1882.0,1686.0,36.0,72.0
48113007700,100625.0,421500.0,2573.0,1693.0,880.0,4796.0,4298.0,2.0,199.0
48113007801,115625.0,573200.0,1189.0,836.0,353.0,2214.0,2039.0,7.0,99.0
48113007804,34781.0,96800.0,2385.0,617.0,1768.0,5208.0,841.0,2963.0,1161.0
48113007805,51641.0,145900.0,1389.0,705.0,684.0,3138.0,1588.0,1054.0,373.0
48113007809,56266.0,244700.0,1143.0,529.0,614.0,2022.0,1266.0,262.0,383.0
48113007810,66250.0,295300.0,1711.0,1021.0,690.0,3887.0,2180.0,931.0,577.0
48113007811,35722.0,101400.0,2375.0,492.0,1883.0,4923.0,983.0,3059.0,764.0
48113007812,140250.0,355900.0,1157.0,1154.0,3.0,3067.0,2738.0,53.0,135.0
48113007815,22830.0,41800.0,1501.0,227.0,1274.0,4691.0,658.0,782.0,2361.0
48113007818,27313.0,,2141.0,0.0,2141.0,5181.0,686.0,1143.0,2944.0
48113007819,26569.0,142300.0,975.0,36.0,939.0,1952.0,601.0,387.0,852.0
48113007820,27838.0,76500.0,1944.0,184.0,1760.0,5726.0,902.0,1606.0,2817.0
48113007821,28895.0,34200.0,1235.0,72.0,1163.0,3307.0,401.0,532.0,1967.0
48113007822,43319.0,,663.0,0.0,663.0,1097.0,812.0,115.0,146.0
48113007823,38958.0,,229.0,9.0,220.0,990.0,382.0,200.0,408.0
48113007824,147763.0,295800.0,624.0,611.0,13.0,1635.0,1394.0,126.0,68.0
48113007825,52617.0,369000.0,2141.0,939.0,1202.0,5386.0,2034.0,1772.0,1442.0
48113007826,35250.0,64300.0,175.0,81.0,94.0,260.0,111.0,136.0,0.0
48113007827,42982.0,78700.0,1126.0,274.0,852.0,2375.0,623.0,1322.0,269.0
48113007902,62939.0,240800.0,2601.0,1609.0,992.0,5018.0,3984.0,358.0,562.0
48113007903,81440.0,327800.0,949.0,647.0,302.0,1912.0,1696.0,53.0,124.0
48113007906,117708.0,715600.0,1093.0,576.0,517.0,2343.0,2089.0,19.0,123.0
48113007909,43962.0,,1489.0,0.0,1489.0,2146.0,1156.0,316.0,378.0
48113007910,50654.0,,2079.0,0.0,2079.0,3047.0,1734.0,151.0,467.0
48113007911,45705.0,,1981.0,0.0,1981.0,2917.0,2252.0,188.0,410.0
48113007912,57692.0,,1074.0,0.0,1074.0,1779.0,1387.0,58.0,237.0
48113007913,63136.0,107100.0,1108.0,469.0,639.0,2249.0,1221.0,376.0,564.0
48113007914,50250.0,108000.0,1567.0,233.0,1334.0,2645.0,1652.0,280.0,272.0
48113008000,142672.0,436800.0,2548.0,2355.0,193.0,6186.0,5644.0,0.0,228.0
48113008100,71228.0,325100.0,2930.0,1556.0,1374.0,6727.0,5368.0,230.0,1083.0
48113008200,51300.0,232900.0,1786.0,1006.0,780.0,4070.0,2418.0,544.0,889.0
48113008400,35455.0,73400.0,2568.0,1669.0,899.0,8685.0,971.0,411.0,7186.0
48113008500,36045.0,79600.0,1289.0,812.0,477.0,5384.0,661.0,452.0,4257.0
48113008603,22760.0,86800.0,371.0,209.0,162.0,1251.0,3.0,747.0,501.0
48113008604,14375.0,70200.0,1222.0,163.0,1059.0,2975.0,72.0,2293.0,597.0
48113008701,16550.0,56500.0,1586.0,486.0,1100.0,3838.0,28.0,3524.0,224.0
48113008703,21994.0,43400.0,944.0,579.0,365.0,2754.0,103.0,1484.0,1127.0
48113008704,22934.0,64100.0,1256.0,452.0,804.0,3402.0,140.0,2971.0,291.0
48113008705,26750.0,56400.0,476.0,340.0,136.0,1249.0,18.0,814.0,417.0
48113008801,27472.0,68700.0,969.0,658.0,311.0,2401.0,34.0,1917.0,445.0
48113008802,19742.0,48900.0,2005.0,1088.0,917.0,6202.0,53.0,3886.0,2210.0
48113008900,20451.0,60900.0,1031.0,409.0,622.0,3028.0,120.0,2079.0,829.0
48113009000,29358.0,84400.0,2506.0,1138.0,1368.0,8481.0,633.0,2699.0,5048.0
48113009101,39054.0,79300.0,1527.0,1101.0,426.0,5687.0,492.0,1105.0,3986.0
48113009103,35302.0,78000.0,925.0,602.0,323.0,3533.0,200.0,989.0,2344.0
48113009104,36125.0,70400.0,953.0,740.0,213.0,3611.0,209.0,633.0,2769.0
48113009105,30905.0,68700.0,1060.0,771.0,289.0,4330.0,432.0,377.0,3434.0
48113009201,45404.0,80300.0,1745.0,1244.0,501.0,6674.0,687.0,1133.0,4800.0
48113009202,36708.0,66200.0,1529.0,992.0,537.0,5976.0,516.0,644.0,4777.0
48113009301,41222.0,69900.0,1267.0,842.0,425.0,5627.0,390.0,359.0,4786.0
